trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
99,False,"{'a': 0.5, 'e': 0.3715766910220457}",20,14,10.177698146218155,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.36787944117144233}",20,0,24.06762424694587,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
101,False,"{'a': 0.5, 'e': 0.3642189795715233}",25,0,-8.73345111870698,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
102,False,"{'a': 0.5, 'e': 0.3605949401730783}",20,16,6.5404270023647255,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.3570069605691474}",25,13,8.163073256574632,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.35345468195878016}",20,14,-31.277250605316688,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
105,False,"{'a': 0.5, 'e': 0.3499377491111553}",35,3,0.5159923785664875,"{0: 26, 1: 4, 2: 2, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.3464558103300574}",30,14,-11.76681145624419,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.34300851741870664}",30,0,-44.74328897080078,"{0: 22, 1: 3, 2: 4, 3: 1, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.3395955256449391}",25,11,-8.595510274515478,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.33621649370673334}",20,0,-23.093223542167266,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
110,False,"{'a': 0.5, 'e': 0.33287108369807955}",30,5,-7.471665890362416,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.32955896107518906}",20,5,-26.04372340524084,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
112,False,"{'a': 0.5, 'e': 0.32627979462303947}",20,0,-4.7268464414671465,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
113,False,"{'a': 0.5, 'e': 0.3230332564222529}",25,7,12.049865871521208,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.31981902181630384}",30,13,8.501980698026932,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.31663676937905316}",30,18,-32.83224805026483,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
